,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Target
0,1,1,4.1,775,1,2,53,800.0,1
1,1,0,4.1,787,1,2,66,800.0,1
2,1,0,3.8,918,1,8,66,800.0,1
3,0,0,3.7,88,1,6,62,300.0,0
4,0,0,3.8,166,4,2,66,600.0,1
5,1,0,3.8,286,4,2,43,600.0,1
6,0,0,3.6,8,42,2,66,800.0,0
7,1,1,4.6,2556,1,8,66,600.0,1
8,1,0,4.0,324,1,1,66,700.0,1
9,1,0,4.2,504,1,1,66,550.0,1
10,1,0,4.1,402,1,1,16,500.0,1
11,1,1,4.2,150,1,1,66,600.0,1
12,1,1,4.2,164,1,1,66,500.0,1
13,0,0,4.0,424,1,1,18,450.0,1
14,1,0,3.8,918,1,8,66,800.0,1
15,1,0,3.8,90,1,1,16,650.0,1
16,1,0,3.9,133,1,1,66,800.0,1
17,1,0,3.8,144,1,1,66,700.0,1
18,0,0,3.9,93,1,1,66,300.0,1
19,1,0,3.1,13,1,1,66,400.0,0
20,1,0,3.0,62,1,1,66,400.0,0
21,1,0,3.7,180,1,1,66,500.0,0
22,0,0,3.6,28,1,1,20,900.0,0
23,1,0,3.6,62,1,8,66,600.0,0
24,0,0,3.7,31,1,1,16,300.0,0
25,0,0,3.2,11,1,1,17,600.0,0
26,1,0,3.8,75,1,8,66,200.0,1
27,0,0,3.3,4,1,1,66,500.0,0
28,0,0,3.3,23,1,1,20,550.0,0
29,0,0,3.8,148,4,8,66,550.0,1
30,1,0,4.0,219,4,1,66,600.0,1
31,1,0,2.8,506,1,6,66,500.0,0
32,1,0,3.9,35,1,4,4,500.0,1
33,1,0,3.9,172,1,4,57,750.0,1
34,1,0,4.2,415,1,6,66,500.0,1
35,1,0,3.9,230,1,4,9,650.0,1
36,1,0,2.8,91,1,6,48,400.0,0
37,1,0,4.2,1647,1,2,25,600.0,1
38,1,0,4.4,4884,18,2,66,750.0,1
39,1,0,4.0,17,1,6,59,150.0,1
40,1,0,3.8,133,4,6,66,200.0,1
41,0,0,3.9,28,1,8,59,300.0,1
42,1,0,3.9,286,1,6,15,500.0,1
43,1,0,3.9,540,1,6,58,800.0,1
44,1,1,4.6,2556,1,8,66,600.0,1
45,0,0,3.8,36,1,4,66,400.0,1
46,1,0,3.6,244,42,6,45,300.0,0
47,1,0,4.0,804,42,2,66,450.0,1
48,1,0,3.7,679,42,2,24,850.0,0
